Date,Value
2018-06-30,197700.0
2018-05-31,196600.0
2018-04-30,195300.0
2018-03-31,194800.0
2018-02-28,195200.0
2018-01-31,195200.0
2017-12-31,195000.0
2017-11-30,195000.0
2017-10-31,195100.0
2017-09-30,194800.0
2017-08-31,194400.0
2017-07-31,193600.0
2017-06-30,192500.0
2017-05-31,191800.0
2017-04-30,191300.0
2017-03-31,190100.0
2017-02-28,188400.0
2017-01-31,186700.0
2016-12-31,185500.0
2016-11-30,184600.0
2016-10-31,183700.0
2016-09-30,182600.0
2016-08-31,181600.0
2016-07-31,180500.0
2016-06-30,179700.0
2016-05-31,179100.0
2016-04-30,178500.0
2016-03-31,177400.0
2016-02-29,176500.0
2016-01-31,176000.0
2015-12-31,175400.0
2015-11-30,174200.0
2015-10-31,173100.0
2015-09-30,172300.0
2015-08-31,172000.0
2015-07-31,171700.0
2015-06-30,171100.0
2015-05-31,170200.0
2015-04-30,169500.0
2015-03-31,169000.0
2015-02-28,168300.0
2015-01-31,167600.0
2014-12-31,166900.0
2014-11-30,166100.0
2014-10-31,165100.0
2014-09-30,163800.0
2014-08-31,162600.0
2014-07-31,161400.0
2014-06-30,160700.0
2014-05-31,160100.0
2014-04-30,158900.0
2014-03-31,157600.0
2014-02-28,156600.0
2014-01-31,155600.0
2013-12-31,154600.0
2013-11-30,153800.0
2013-10-31,153000.0
2013-09-30,152400.0
2013-08-31,151600.0
2013-07-31,151100.0
2013-06-30,150500.0
2013-05-31,149900.0
2013-04-30,149400.0
2013-03-31,148900.0
2013-02-28,148300.0
2013-01-31,147800.0
2012-12-31,147200.0
2012-11-30,146600.0
2012-10-31,146000.0
2012-09-30,145500.0
2012-08-31,145200.0
2012-07-31,145000.0
2012-06-30,144700.0
2012-05-31,144400.0
2012-04-30,144400.0
2012-03-31,144400.0
2012-02-29,144100.0
2012-01-31,143800.0
2011-12-31,143600.0
2011-11-30,143500.0
2011-10-31,143600.0
2011-09-30,143900.0
2011-08-31,144100.0
